High_RNN,Low_RNN,Open_RNN,Close_RNN
162.03682,158.73228,159.37193,160.77379
134.45682,131.51778,132.1383,133.3304
127.780365,124.9298,125.5457,126.68701
105.89955,103.33894,103.93968,104.91457
178.65575,175.131,175.78215,177.31041
148.44914,145.32468,145.9549,147.25342
130.43266,127.54696,128.16469,129.32617
96.55047,94.113754,94.708015,95.6118
250.97778,246.49464,247.19592,249.27425
159.69185,156.4184,157.05641,158.44044
120.00889,117.261314,117.871826,118.95403
154.85027,151.64098,152.27563,153.62283
105.112946,102.562775,103.162964,104.131874
173.45332,169.99751,170.64507,172.13376
117.01453,114.30663,114.91507,115.9745
161.31906,158.02405,158.66318,160.05959
68.082054,66.022606,66.59713,67.28439
217.33786,213.30049,213.97845,215.80093
140.61243,137.59181,138.2166,139.45552
143.06322,140.01012,140.63661,141.89417
114.65514,111.978516,112.58532,113.6268
142.01001,138.97087,139.59663,140.84618
129.04419,126.17687,126.79365,127.94457
165.96443,162.60785,163.25021,164.68195
158.98337,155.7193,156.35683,157.73546
113.68361,111.01986,111.625984,112.66009
76.48065,74.309906,74.89025,75.641396
110.12174,107.50519,108.10885,109.11586
255.87247,251.32446,252.02913,254.14468
143.23631,140.18092,140.80754,142.0664
127.33316,124.48853,125.10412,126.242035
175.2342,171.75479,172.40358,173.9058
136.24196,133.27927,133.90103,135.1067
140.51814,137.49878,138.1235,139.3617
68.827255,66.75793,67.33297,68.0259
173.75964,170.29977,170.94754,172.43855
120.46868,117.71501,118.32584,119.411545
111.88641,109.246475,109.85136,110.87179
197.65718,193.88063,194.54495,196.21774
139.78564,136.77599,137.4002,138.63283
131.55916,128.65851,129.27704,130.44708
131.49406,128.59428,129.21277,130.38232
136.50018,133.53406,134.156,135.36363
125.22073,122.40409,123.01822,124.14006
130.23619,127.35307,127.97068,129.13066
114.96913,112.28834,112.89536,113.93923
106.212395,103.64765,104.248604,105.225876
131.45894,128.55963,129.17807,130.34737
168.29935,164.91183,165.55582,167.00531
106.55473,103.98545,104.58664,105.56651
126.67658,123.84065,124.45579,125.58871
156.87051,153.63446,154.27051,155.63309
135.18593,132.23723,132.85826,134.05591
127.338295,124.49359,125.109184,126.24714
115.47375,112.78627,113.39365,114.44135
121.71859,118.948364,119.56006,120.655266
124.01961,121.21889,121.83218,122.944885
111.54034,108.90498,109.50963,110.52743
72.413,70.29615,70.87368,71.59389
173.558,170.1008,170.74841,172.2379
141.59467,138.56104,139.18651,140.43289
150.16689,147.01965,147.65108,148.96265
125.553955,122.7329,123.34726,124.471634
118.06955,115.34768,115.95685,117.0243
132.8912,129.9729,130.59235,131.77254
130.81871,127.92789,128.54588,129.71031
119.86046,117.114845,117.72526,118.806335
111.98079,109.3396,109.94455,110.9657
114.6624,111.98568,112.59248,113.634026
132.65936,129.74414,130.36342,131.54184
104.3623,101.82207,102.42174,103.38494
150.3418,147.19225,147.82379,149.1367
121.49503,118.72777,119.33931,120.432816
69.142555,67.069046,67.64431,68.33964
158.74184,155.48097,156.11833,157.49512
134.37273,131.4348,132.05527,133.24672
168.42982,165.04059,165.68465,167.13513
108.56552,105.9696,106.572174,107.567345
120.63355,117.8777,118.48865,119.57561
105.69063,103.1328,103.73338,104.70669
157.18773,153.94746,154.58374,155.94873
112.92154,110.26788,110.87349,111.90179
106.68358,104.11259,104.71387,105.694725
149.84633,146.70334,147.33453,148.64368
115.95945,113.26553,113.87324,114.924644
116.23102,113.53351,114.1414,115.19488
138.13567,135.14787,135.77095,136.99103
109.719536,107.108315,107.71169,108.715645
147.15138,144.04413,144.67345,145.9621
85.54939,83.25847,83.8451,84.665215
209.8964,205.95766,206.63046,208.39633
506.43445,498.56604,499.44437,503.4656
170.92819,167.50584,168.15164,169.62112
157.92276,154.67274,155.30954,156.6801
118.68665,115.956604,116.5662,117.63835
118.022194,115.30095,115.91009,116.97718
151.5835,148.4175,149.0499,150.37225
121.25219,118.488144,119.09952,120.19118
109.23611,106.631294,107.234344,108.23461
196.1653,192.40851,193.07181,194.73323
123.13743,120.3484,120.96108,122.06708
130.24767,127.3644,127.98202,129.14209
123.98246,121.18223,121.795494,122.90793
128.54436,125.68367,126.300095,127.44722
145.1795,142.09837,142.72633,143.99998
131.69052,128.78815,129.40675,130.5778
125.30534,122.48758,123.10177,124.22426
120.07455,117.3261,117.93666,119.01936
109.06247,106.45995,107.06288,108.06183
160.4132,157.13017,157.76869,159.1582
148.30806,145.18547,145.8156,147.11304
129.95279,127.07343,127.69084,128.84868
113.16141,110.50457,111.11034,112.140465
124.28819,121.48392,122.09739,123.21214
133.62181,130.69383,131.31378,132.49953
121.5952,118.82661,119.43822,120.53249
149.31493,146.17899,146.8098,148.1149
117.11789,114.40862,115.017136,116.07735
108.30882,105.71629,106.318695,107.31192
155.38852,152.17209,152.80713,154.15842
120.950516,118.19047,118.80163,119.891
167.80154,164.42062,165.06425,166.50996
117.81968,115.10111,115.710106,116.775665
144.49196,141.41992,142.04741,143.31583
130.86473,127.97329,128.59132,129.75609
134.26022,131.32378,131.94417,133.13477
145.98305,142.89127,143.51978,144.79953
129.41826,126.546,127.16303,128.3168
127.33107,124.486465,125.10205,126.23995
125.684074,122.86129,123.47574,124.60111
151.73825,148.57019,149.2027,150.52623
130.09608,127.21483,127.83234,128.99126
152.16847,148.99472,149.62753,150.95433
135.0734,132.12617,132.74713,133.94392
117.91837,115.1985,115.80756,116.87387
196.72484,192.96063,193.62431,195.29001
126.7793,123.942,124.557205,125.6909
160.31863,157.03688,157.67532,159.06412
140.91153,137.88695,138.51195,139.75313
132.09477,129.18703,129.80591,130.98004
186.57962,182.94987,183.60652,185.19504
144.51154,141.43925,142.06674,143.33531
136.07872,133.1182,133.73984,134.94427
162.497,159.18637,159.82632,161.23169
125.03411,122.21995,122.83394,123.95437
176.87663,173.37544,174.02538,175.5401
135.21431,132.26524,132.88629,134.08414
141.73505,138.69957,139.32513,140.57259
168.09656,164.71173,165.35558,166.80351
89.020584,86.683655,87.2727,88.11921
200.29517,196.48364,197.1498,198.84264
136.7325,133.76329,134.38539,135.5948
173.04407,169.59367,170.24095,171.72652
76.538956,74.36743,74.94782,75.6994
130.02075,127.14051,127.75796,128.9163
273.5175,268.73563,269.45255,271.7023
178.48367,174.96121,175.61224,177.13919
142.15558,139.11452,139.74037,140.99103
166.34486,162.98325,163.62587,165.0605
154.22366,151.02267,151.6569,152.99934
155.38593,152.16954,152.80458,154.15585
167.30327,163.92896,164.57225,166.01416
138.89865,135.90076,136.52435,137.75023
143.84972,140.78621,141.41324,142.67677
186.58896,182.95908,183.61572,185.20432
154.12158,150.92195,151.5561,152.89777
181.64526,178.08089,178.73412,180.28513
145.60132,142.51459,143.14284,144.4197
162.6066,159.29453,159.93456,161.34076
143.46925,140.41078,141.03755,142.2982
135.5295,132.57623,133.19751,134.39777
195.12163,191.37868,192.04124,193.69473
183.50562,179.9166,180.5711,182.13625
142.24109,139.1989,139.82481,141.07611
181.08867,177.53166,178.18451,179.73128
143.42664,140.36873,140.99547,142.25578
158.4653,155.20811,155.84528,157.21997
132.70221,129.7864,130.40572,131.58447
231.55905,227.33324,228.02106,229.95169
111.48415,108.84954,109.45415,110.47152
194.28688,190.55498,191.21698,192.86412
170.75078,167.33078,167.97646,169.4446
164.8157,161.47437,162.11592,163.53893
167.50366,164.1267,164.77013,166.21356
155.7767,152.55513,153.19043,154.54468
168.26274,164.87572,165.51967,166.96889
180.09528,176.55145,177.2036,178.74281
159.99898,156.72147,157.3597,158.74605
178.05428,174.53749,175.18823,176.71191
162.46346,159.15329,159.79321,161.19832
171.72559,168.29266,168.93903,170.41457
146.59244,143.49258,144.12152,145.40591
189.60641,185.93655,186.59529,188.20685
171.5441,168.11359,168.75981,170.23398
137.21158,134.23602,134.85846,136.0715
216.45471,212.42906,213.10641,214.92216
203.7049,199.84819,200.51671,202.23549
166.66447,163.29863,163.94148,165.37854
183.36209,179.77496,180.42938,181.99344
178.2618,174.74225,175.39314,176.9184
161.36528,158.06966,158.70883,160.10559
184.24628,180.64745,181.30247,182.87326
154.17586,150.9755,151.6097,152.95177
153.20862,150.02109,150.6546,151.98932
176.17036,172.67856,173.32799,174.83734
191.1012,187.41151,188.0713,189.69421
177.81473,174.30112,174.95169,176.47356
151.91124,148.74089,149.37352,150.69836
195.52,191.77177,192.43462,194.09114
179.32224,175.78865,176.44026,177.9736
181.30003,177.74023,178.39323,179.9416
170.53656,167.1194,167.76492,169.23143
178.45976,174.9376,175.58862,177.1154
182.22726,178.65518,179.3088,180.86424
184.05602,180.45969,181.1146,182.68393
154.56636,151.36084,151.9953,153.34033
161.60667,158.30785,158.94719,160.34578
186.26353,182.63795,183.29439,184.88051
182.2813,178.7085,179.36217,180.918
181.27165,177.71223,178.3652,179.91336
105.64801,103.090744,103.69131,104.66429
131.45499,128.55573,129.17416,130.34343
331.6786,326.12598,326.8832,329.57532
194.1719,190.44154,191.10345,192.74973
180.68176,177.13017,177.78273,179.3264
183.81444,180.22133,180.87605,182.44356
173.78162,170.32146,170.96924,172.46042
170.23509,166.82191,167.46724,168.93146
153.49171,150.30043,150.93414,152.27101
175.63156,172.14688,172.79594,174.3012
216.37105,212.3465,213.02379,214.8389
187.15408,183.51671,184.17377,185.76666
186.46318,182.83496,183.49153,185.07918
186.06543,182.44249,183.09877,184.6834
176.68094,173.18236,173.83215,175.34538
193.98775,190.25983,190.9216,192.56648
176.40215,172.90726,173.55685,175.06798
160.1278,156.84857,157.4869,158.87424
180.90916,177.35454,178.00726,179.55266
184.69559,181.09079,181.74612,183.32033
185.76782,182.14882,182.8049,184.38725
153.42378,150.23338,150.86707,152.20341
185.51108,181.89548,182.55139,184.13179
183.84552,180.25198,180.90674,182.47447
190.73526,187.05043,187.70996,189.3301
174.35506,170.8873,171.53548,173.03102
167.91011,164.52776,165.17146,166.618
199.01486,195.22032,195.88557,197.5687
151.53648,148.37111,149.00346,150.32547
187.35904,183.71895,184.37614,185.9706
191.78079,188.0821,188.74236,190.37045
179.64845,176.11053,176.76239,178.2982
165.1361,161.79051,162.4323,163.85773
174.68213,171.21002,171.85843,173.35648
158.08337,154.83124,155.46814,156.83994
162.98401,159.66693,160.30722,161.7163
218.92365,214.86526,215.54434,217.37886
181.50874,177.94618,178.59932,180.14928
165.8088,162.4543,163.09654,164.5271
162.21179,158.90495,159.54471,160.9479
204.4871,200.62004,201.2891,203.01382
187.19086,183.55301,184.21008,185.80325
163.64482,160.31898,160.95975,162.37384
161.9952,158.69121,159.33083,160.73236
208.0789,204.16425,204.83578,206.58783
176.47331,172.9775,173.62714,175.1388
201.96544,198.13179,198.7991,200.50464
166.92973,163.56036,164.2034,165.64247
187.30829,183.66887,184.32602,185.92009
191.25333,187.56163,188.22151,189.84558
190.40027,186.71988,187.37917,188.99675
189.34628,185.67986,186.33842,187.94798
161.5134,158.21582,158.85509,160.25298
194.81978,191.08083,191.74318,193.39438
188.85406,185.19417,185.85239,187.45822
175.14174,171.66356,172.31227,173.81381
179.49718,175.96127,176.613,178.14767
204.72311,200.85292,201.52214,203.24867
166.30168,162.94064,163.58324,165.01753
188.99214,185.33041,185.98872,187.59561
186.24942,182.62404,183.28046,184.86647
104.51138,101.96918,102.56895,103.53329
114.51102,111.8363,112.443,113.48339
384.904,378.6461,379.4402,382.5371
192.16034,188.45663,189.11714,190.74812
161.80913,158.50763,159.14711,160.54724
227.4282,223.25713,223.94208,225.8413
181.42976,177.86824,178.52133,180.07068
208.26524,204.34811,205.01979,206.77325
186.84258,183.20932,183.86615,185.45668
166.452,163.08897,163.73167,165.16711
190.24797,186.56961,187.22879,188.84523
196.42088,192.6607,193.32417,194.98755
191.20836,187.51726,188.17711,189.80084
190.0857,186.40948,187.06856,188.68375
143.32036,140.26385,140.89052,142.15004
213.2456,209.26247,209.9376,211.72894
212.66054,208.68517,209.35988,211.14677
200.87457,197.05539,197.72194,199.41919
190.16087,186.48366,187.14279,188.75856
175.38028,171.89893,172.54782,174.05116
197.57236,193.79692,194.4612,196.13333
167.54758,164.17003,164.81349,166.25726
193.57211,189.84969,190.51118,192.1529
208.5679,204.64676,205.31865,207.07442
179.37305,175.83879,176.49043,178.02415
194.63445,190.89795,191.56018,193.20998
193.77567,190.05054,190.71217,192.35544
164.62183,161.28305,161.92448,163.34601
197.47256,193.69846,194.36266,196.03403
172.13446,168.69612,169.34277,170.82143
195.51733,191.76913,192.43198,194.08849
183.6756,180.08432,180.73895,182.30539
189.00557,185.34367,186.002,187.60898
187.08609,183.44962,184.10661,185.69899
188.79344,185.13435,185.79253,187.39789
156.43054,153.2003,153.83606,155.19528
184.22092,180.62242,181.27744,182.84802
178.32115,174.80083,175.45175,176.97746
222.29646,218.19339,218.87479,220.73497
166.40933,163.04686,163.68953,165.12465
191.85042,188.1508,188.81111,190.43973
164.1934,160.86029,161.50143,162.9197
188.94478,185.28368,185.94196,187.54848
156.61775,153.38504,154.02092,155.38156
211.28523,207.3281,208.00186,209.77829
174.85672,171.38231,172.03084,173.5302
189.6714,186.00067,186.65947,188.27151
193.30617,189.58728,190.24858,191.88828
196.50314,192.74188,193.40541,195.06941
201.06528,197.24356,197.91025,199.60895
192.17198,188.46811,189.12863,190.75969
190.06575,186.3898,187.04886,188.6639
191.62047,187.9239,188.58405,190.2109
196.17696,192.42001,193.08331,194.74483
193.15437,189.43748,190.0987,191.73723
194.03499,190.30644,190.96825,192.61348
201.83717,198.00522,198.67244,200.37701
204.30199,200.43738,201.10631,202.82964
180.53854,176.98883,177.6413,179.18387
204.37277,200.50722,201.1762,202.90005
182.79826,179.21861,179.87263,181.4324
204.17766,200.3147,200.98354,202.70592
203.28853,199.43735,200.10558,201.8212
136.25555,133.29268,133.91446,135.12022
162.04909,158.7444,159.38405,160.786
284.0228,279.1017,279.82593,282.15558
202.083,198.24779,198.91519,200.62163
191.71652,188.01869,188.67891,190.3065
184.3157,180.71594,181.37103,182.94234
174.56772,171.09714,171.74547,173.24263
199.66624,195.86307,196.5288,198.21684
153.26866,150.08034,150.7139,152.04907
182.83554,179.2554,179.90945,181.4695
195.01384,191.27231,191.9348,193.58748
195.23354,191.48909,192.15173,193.80608
194.79904,191.06035,191.7227,193.37375
202.37563,198.53654,199.20415,200.91281
191.70607,188.00838,188.66858,190.2961
182.26512,178.69254,179.34619,180.9019
191.15479,187.4644,188.12422,189.74754
135.57394,132.62009,133.2414,134.44199
178.3885,174.86728,175.51826,177.04448
192.78813,189.0761,189.73706,191.3728
155.45393,152.23665,152.87172,154.22351
188.37866,184.72507,185.38297,186.98517
206.00763,202.12042,202.79053,204.52682
164.25276,160.91887,161.56004,162.97876
192.57921,188.86995,189.53076,191.16492
172.47705,169.03418,169.68106,171.16232
170.94572,167.52313,168.16896,169.63858
209.96251,206.02287,206.69574,208.4621
191.68016,187.98282,188.64299,190.27032
160.81651,157.52815,158.16695,159.55952
194.29988,190.56781,191.22981,192.87706
192.60243,188.89285,189.55368,191.18802
188.20148,184.55022,185.208,186.80885
179.41151,175.87675,176.52843,178.06244
191.06604,187.37683,188.03659,189.65924
177.41183,173.90356,174.55386,176.07266
195.72191,191.97101,192.63399,194.29205
133.90941,130.97762,131.59776,132.78569
229.24272,225.04759,225.73381,227.64682
194.86412,191.12457,191.78696,193.43849
199.33667,195.53786,196.20335,197.88892
158.53387,155.27577,155.913,157.28821
199.91284,196.1064,196.7723,198.46222
194.66116,190.9243,191.58656,193.23656
167.85577,164.47415,165.11781,166.56393
109.66816,107.05762,107.660965,108.66452
239.1538,234.82733,235.52042,237.5088
209.04968,205.12216,205.79439,207.55382
185.44476,181.83005,182.4859,184.0658
159.53517,156.2638,156.9017,158.28453
202.64384,198.8012,199.46898,201.17969
187.23999,183.60149,184.25859,185.85214
193.13223,189.41563,190.07683,191.7152
201.77864,197.94746,198.61465,200.31879
199.3232,195.52457,196.19005,197.8755
173.46484,170.00888,170.65645,172.14522
204.00327,200.14261,200.81134,202.53238
187.52158,183.87933,184.53664,186.13232
200.72191,196.90474,197.5712,199.26729
205.5329,201.65198,202.32176,204.05444
170.4285,167.01277,167.65822,169.1239
212.69728,208.72142,209.39616,211.18333
202.54126,198.69998,199.36769,201.07762
200.08124,196.27257,196.93857,198.62979
96.63333,94.19552,94.78983,95.69425
104.336205,101.796326,102.39597,103.35898
356.45425,350.57333,351.34772,354.22827
207.96228,204.04916,204.72063,206.47179
224.00368,219.87798,220.56056,222.43373
184.17906,180.58112,181.2361,182.80637
220.31917,216.2423,216.92233,218.76747
207.5053,203.59824,204.26938,206.01707
207.25313,203.3494,204.02037,205.76614
210.56876,206.62111,207.29437,209.06535
214.83824,210.83401,211.51024,213.31369
196.54372,192.7819,193.44547,195.10977
203.35013,199.49812,200.1664,201.88248
211.70644,207.7437,208.41777,210.1974
189.69704,186.02597,186.68478,188.29701
213.32068,209.33655,210.01173,211.80363
214.73592,210.73305,211.40921,213.21188
173.78906,170.3288,170.9766,172.46783
198.70569,194.91524,195.58029,197.26105
163.43782,160.11473,160.75534,162.16785
201.73793,197.9073,198.57445,200.27827
205.75421,201.87036,202.5403,204.27466
219.41609,215.3512,216.0306,217.86887
172.42288,168.98071,169.62755,171.10841
200.68396,196.8673,197.53372,199.22952
186.39746,182.77011,183.42664,185.01378
207.67865,203.76929,204.44057,206.18956
206.55963,202.6651,203.3356,205.0761
213.23781,209.25478,209.9299,211.72119
208.03764,204.12352,204.79504,206.54677
188.0324,184.38338,185.04103,186.64061
216.02563,212.00566,212.68272,214.49521
195.61342,191.86395,192.52686,194.1841
206.35687,202.46503,203.13538,204.87433
160.80957,157.5213,158.1601,159.55261
170.47177,167.05547,167.70094,169.16696
240.24542,235.9045,236.59834,238.59503
200.67084,196.85434,197.52075,199.21646
212.3246,208.35367,209.02817,210.8125
202.04604,198.21132,198.8787,200.58485
157.58678,154.34123,154.97778,156.3458
230.65886,226.44498,227.13217,229.05595
