Date,AOS,ABT,ABBV,ACN,ATVI,ADM,ADBE,ADP,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,ALL,AMCR,AMD,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,AON,APA,AAPL,AMAT,APTV,ANET,AJG,AIZ,ATO,ADSK,AZO,AVB,AVY,BKR,BAC,BAX,BDX,BBY,BIIB,BLK,BK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,CHRW,CDNS,CAH,CCL,CARR,CAT,CBOE,CBRE,CDW,CE,CF,CB,CHD,C,CFG,CAG,CCI
2016-02-09,29.78803825378418,34.0001106262207,43.811561584472656,86.25281524658203,27.849517822265625,29.08805084228516,73.8499984741211,73.03739929199219,139.65110778808594,8.003830909729004,26.09095573425293,33.978538513183594,108.78763580322266,39.56999969482422,60.49736785888672,46.44623565673828,63.578948974609375,58.65999984741211,52.06509399414063,57.808712005615234,7.133108139038086,1.899999976158142,40.29165649414063,34.679176330566406,53.95748519897461,49.12799835205078,46.46748733520508,78.37339782714844,60.51673889160156,70.01005554199219,78.22230529785156,44.34073257446289,126.16547393798828,46.95127868652344,44.58209609985352,83.0999984741211,88.53483581542969,32.08645248413086,88.7955322265625,15.017817497253418,45.48696517944336,53.0,33.63522720336914,69.02171325683594,64.10482788085938,42.63999938964844,697.5800170898438,140.69981384277344,57.45280456542969,26.173322677612305,11.203254699707031,34.48945999145508,126.12565612792967,24.289491653442383,249.9900054931641,261.72705078125,30.697826385498047,105.79833984375,991.2899780273438,27.53650283813477,97.2124252319336,16.8700008392334,54.08873748779297,104.9850616455078,48.21152114868164,62.65263748168945,19.81999969482422,66.05853271484375,37.24665069580078,,56.47719955444336,58.46592712402344,23.31999969482422,33.543495178222656,52.35857772827149,24.33345031738281,100.31031799316406,40.93344879150391,34.29780960083008,17.294158935546875,27.647430419921875,69.53508758544922
2016-02-10,30.08712577819824,34.19308090209961,43.1889533996582,87.07540893554688,29.14484405517578,28.741559982299805,75.52999877929688,73.18226623535156,136.7593994140625,8.020661354064941,25.89278221130371,34.43965148925781,107.13685607910156,47.959999084472656,61.61272811889648,46.63243103027344,64.24031829833984,60.130001068115234,52.6118392944336,57.78118896484375,7.133108139038086,1.840000033378601,40.39658737182617,35.57034683227539,54.41600036621094,48.81063079833984,46.645355224609375,78.6207046508789,61.40073013305664,71.62428283691406,79.0068359375,44.21472930908203,127.61962127685548,47.60231399536133,44.26566696166992,83.94000244140625,88.48716735839844,31.860998153686523,88.12247467041016,14.91521167755127,46.52865982055664,53.56999969482422,33.795318603515625,59.76348114013672,63.63399124145508,43.720001220703125,697.1699829101562,143.6865234375,57.58984756469727,26.022869110107425,11.001227378845217,35.17563247680664,127.81560516357422,23.75010871887207,252.1999969482422,265.3081970214844,30.66127586364746,104.51390838623048,1032.77001953125,28.22467994689941,99.1929168701172,16.920000076293945,54.14192962646485,104.53778839111328,49.42095947265625,61.69969177246094,20.440000534057617,67.41157531738281,37.6280403137207,,54.89587020874024,58.55107879638672,24.01000022888184,32.92774963378906,51.8126106262207,24.03975486755371,101.3172378540039,40.901065826416016,34.20637130737305,16.68378257751465,28.02349281311035,69.22209930419922
2016-02-11,30.16191291809082,33.39361953735352,42.746578216552734,86.3544921875,29.50250816345215,27.648895263671875,74.94000244140625,72.62091827392578,136.60147094726562,7.574601173400879,25.221424102783203,33.94011688232422,104.47588348388672,49.13999938964844,61.70492172241211,46.63243103027344,63.18214416503906,58.790000915527344,54.42471694946289,57.17566680908203,7.133108139038086,1.8600000143051147,39.67083740234375,34.96664047241211,53.04045104980469,47.70914077758789,44.92895126342773,76.6240463256836,60.848236083984375,68.02120971679688,78.03772735595703,43.64291763305664,125.5342025756836,46.922550201416016,44.15715408325195,83.5,88.35371398925781,31.0042781829834,87.58963012695312,14.588739395141602,46.26823806762695,54.369998931884766,33.63522720336914,60.377098083496094,63.64303970336914,43.2599983215332,712.75,141.09274291992188,56.89556121826172,24.93832015991211,10.24822235107422,34.194026947021484,127.05512237548828,23.42822265625,245.1100006103516,261.442626953125,29.912109375,97.40022277832033,1055.239990234375,28.07588768005371,96.5076904296875,16.579999923706055,52.75912857055664,102.00328063964844,49.30094528198242,61.87947082519531,20.149999618530277,66.46359252929688,37.43734359741211,,54.2509765625,58.92009353637695,23.530000686645508,31.914152145385746,51.053340911865234,25.084962844848636,100.54615783691406,40.39277648925781,31.984468460083008,16.04686164855957,28.03742218017578,68.95137023925781
2016-02-12,30.75542449951172,34.11956787109375,43.07426452636719,87.5282974243164,27.18252182006836,28.365686416625977,76.66999816894531,74.00614166259766,138.93063354492188,7.717677116394043,25.997119903564453,34.79509735107422,107.0547103881836,50.7599983215332,63.08761596679688,47.83338928222656,63.358497619628906,58.77999877929688,55.15370559692383,58.63441848754883,7.133108139038086,1.830000042915344,39.56592178344727,36.241119384765625,52.42622375488281,49.15600204467773,47.13448333740234,78.46500396728516,59.92741012573242,71.48160552978516,79.01605224609375,44.224422454833984,128.42713928222656,47.42998504638672,44.88045883178711,84.05999755859375,89.41180419921875,32.94318008422852,87.86073303222656,14.980506896972656,48.61480331420898,56.2400016784668,34.23109436035156,60.52145385742188,63.2265510559082,44.91999816894531,729.6199951171875,143.59046936035156,58.448577880859375,25.01355361938477,10.973678588867188,34.889732360839844,131.2611846923828,24.46348190307617,247.22000122070312,272.6304626464844,30.907957077026367,97.57086944580078,1058.010009765625,29.517337799072266,96.89127349853516,16.639999389648438,53.36189270019531,106.69520568847656,50.17801284790039,63.07516479492188,20.280000686645508,67.95452880859375,38.19146728515625,,55.788124084472656,59.01471328735352,24.34000015258789,32.5014762878418,52.42549896240234,25.914215087890625,103.69390869140624,41.30677032470703,34.32524490356445,16.710317611694336,28.970605850219727,70.32179260253906
2016-02-16,31.306882858276367,34.909854888916016,43.83613586425781,89.57096099853516,28.439178466796875,29.38842391967773,78.87999725341797,75.8531494140625,144.09230041503906,7.89441967010498,26.36908721923828,35.621273040771484,107.87599182128906,52.54999923706055,64.15689086914062,48.70849990844727,65.25440216064453,61.869998931884766,56.11289978027344,59.239933013916016,7.133108139038086,1.830000042915344,39.85446166992188,36.99814987182617,52.850128173828125,49.64140319824219,46.29851913452149,79.17939758300781,59.99185943603516,73.95199584960938,79.01605224609375,44.56364059448242,130.58360290527344,48.56929397583008,47.07746124267578,84.05000305175781,89.74541473388672,33.79087829589844,90.33792877197266,15.596141815185549,50.10723114013672,59.150001525878906,34.684669494628906,60.68387222290039,63.769805908203125,44.88999938964844,757.6900024414062,144.42013549804688,59.22509765625,25.82853126525879,11.249168395996094,35.652137756347656,133.42994689941406,25.664039611816406,256.5199890136719,279.4461975097656,31.565771102905277,101.13670349121094,1110.6800537109375,30.13112449645996,98.3900146484375,17.15999984741211,55.116973876953125,110.71183013916016,50.85198593139648,64.01913452148438,20.61000061035156,68.74740600585938,39.02359390258789,,57.60798645019531,58.77817535400391,24.31999969482422,34.34869384765625,53.687870025634766,26.89895820617676,104.9276123046875,41.80107498168945,35.55963134765625,17.12608528137207,29.088998794555664,71.05775451660156
2016-02-17,32.24623107910156,35.332550048828125,45.06494522094727,91.51189422607422,28.468181610107425,29.19611930847168,81.8499984741211,77.25650024414062,141.5361785888672,8.096406936645508,26.79549217224121,36.38018798828125,108.82870483398438,53.41999816894531,66.15716552734375,49.12743377685547,65.55419921875,63.09999847412109,56.41024398803711,59.65279006958008,7.133108139038086,1.899999976158142,39.618385314941406,37.69768142700195,52.85879135131836,50.04278945922852,46.84100341796875,78.9412612915039,59.58669662475586,75.78031158447266,80.75125122070312,44.59272766113281,134.062255859375,49.80435562133789,47.67417907714844,86.18000030517578,90.5556640625,36.12657165527344,91.72142028808594,15.9879150390625,52.40141677856445,59.86000061035156,35.03150939941406,62.48858642578125,63.05451583862305,46.66999816894531,754.1799926757812,146.50733947753906,58.64955139160156,26.637237548828125,11.533842086791992,36.41455459594727,135.2982635498047,26.142520904541016,265.6300048828125,284.25372314453125,31.89468002319336,104.4959487915039,1235.56005859375,31.2377986907959,99.88873291015624,17.56999969482422,56.65932846069336,114.60567474365234,51.17512130737305,63.68649291992188,20.950000762939453,69.79019927978516,40.07073593139648,,59.41899871826172,58.47538375854492,25.84000015258789,35.17283630371094,54.39225006103516,27.3826961517334,106.0524444580078,41.91299057006836,36.3734130859375,17.38262176513672,29.040252685546875,71.63298797607422
2016-02-18,32.23220443725586,35.20389938354492,44.68812942504883,91.05901336669922,27.91718292236328,29.633190155029297,80.52999877929688,76.87623596191406,141.4473419189453,8.163739204406738,26.83631896972656,35.72694396972656,107.7281723022461,53.27999877929688,66.66417694091797,50.76594924926758,65.9245834350586,62.880001068115234,56.1992301940918,58.992225646972656,7.133108139038086,1.909999966621399,40.46653366088867,37.88932418823242,54.026702880859375,50.54685974121094,46.17400741577149,80.14110565185547,60.599609375,75.16493225097656,80.32503509521484,44.44734954833984,132.49156188964844,49.88093948364258,47.05034255981445,85.56999969482422,90.14576721191406,34.990291595458984,89.98270416259766,16.015897750854492,51.893367767333984,58.150001525878906,35.324989318847656,61.74867630004883,64.51200103759766,47.75,748.510009765625,147.0313262939453,58.63128280639648,26.323787689208984,11.239986419677734,36.28112030029297,134.42510986328125,26.751495361328125,259.04998779296875,280.7792053222656,31.55663681030273,105.60072326660156,1251.949951171875,30.35431861877441,99.57650756835938,17.209999084472656,56.12748336791992,111.4397201538086,51.258209228515625,63.79437255859375,20.780000686645508,69.80745697021484,39.56462860107422,,58.411895751953125,58.46592712402344,25.25,35.54227828979492,54.108673095703125,29.689054489135746,105.55354309082033,41.74044799804688,35.58705520629883,16.904930114746094,29.082033157348636,72.7665023803711
2016-02-19,32.17612838745117,35.40606689453125,44.47512435913086,91.45645141601562,29.18350982666016,28.540512084960938,80.87000274658203,77.46472930908203,141.75326538085938,7.919667243957519,26.90889549255371,35.96710205078125,108.02384185791016,53.130001068115234,66.93714141845703,50.71940231323242,66.10977172851562,63.290000915527344,56.36227798461914,58.716983795166016,7.133108139038086,1.909999966621399,39.87195587158203,38.10014724731445,53.55953598022461,51.06959915161133,45.8271713256836,79.9762191772461,60.56277847290039,73.74690246582031,80.46403503417969,44.70903396606445,133.21920776367188,49.88093948364258,47.10458755493164,87.58999633789062,89.20207977294922,33.66462707519531,89.77705383300781,17.14456558227539,51.72666549682617,65.0,35.06709289550781,63.463172912597656,63.85611724853516,49.90999984741211,759.9099731445312,148.55963134765625,59.005836486816406,26.417818069458008,11.1389741897583,35.880859375,136.03994750976562,26.055524826049805,261.3999938964844,279.28631591796875,31.912952423095703,103.43609619140624,1283.739990234375,30.03812789916992,100.27236938476562,17.15999984741211,56.552955627441406,112.84292602539062,51.47055435180664,63.36285781860352,20.950000762939453,69.66094970703125,40.48087310791016,,57.79349136352539,59.36481857299805,25.059999465942383,36.18643569946289,53.97145462036133,28.50564384460449,104.9276123046875,41.69381713867188,35.651065826416016,17.019933700561523,29.13774681091309,72.29278564453125
2016-02-22,32.6901969909668,35.984981536865234,45.2861442565918,92.75042724609376,30.46916961669922,29.53703117370605,83.80000305175781,78.22525024414062,145.9378662109375,8.239483833312988,27.08127212524414,36.53389358520508,109.1654281616211,54.47999954223633,66.98339080810547,51.04524993896485,67.2825927734375,64.33000183105469,58.57802581787109,59.12067413330078,7.133108139038086,2.009999990463257,40.42281723022461,39.13505554199219,54.37274169921875,51.92838668823242,46.33408737182617,81.73474884033203,61.023197174072266,75.39680480957031,81.2608642578125,44.70903396606445,131.83485412597656,50.26390838623047,47.565696716308594,88.5199966430664,89.38317108154297,35.72074890136719,90.56226348876952,17.340452194213867,52.47286987304688,65.4000015258789,35.51176071166992,63.69776153564453,64.09297943115234,50.34999847412109,764.9000244140625,149.39801025390625,59.40779113769531,27.264144897460938,11.515477180480955,36.60514831542969,136.77224731445312,26.73409652709961,265.8299865722656,281.2057189941406,32.36975860595703,105.43904876708984,1288.4200439453125,30.568212509155277,102.37772369384766,17.260000228881836,56.46432495117188,114.57061767578124,51.83062362670898,62.9942741394043,21.25,70.20389556884766,41.65018844604492,,59.46316146850586,58.9295654296875,25.790000915527344,36.9063720703125,55.92907333374024,28.97209930419922,106.21573638916016,42.048221588134766,36.13567352294922,17.51531410217285,29.186492919921875,73.39249420166016
2016-02-23,32.20417022705078,35.27742004394531,45.11412048339844,92.10345458984376,29.705507278442383,29.53703117370605,83.06999969482422,76.82190704345703,145.62208557128906,8.062743186950684,26.93157958984375,35.70772933959961,107.76102447509766,53.970001220703125,67.3072509765625,49.025028228759766,67.2825927734375,62.93999862670898,58.616397857666016,58.469276428222656,7.294939041137695,1.9700000286102293,40.676387786865234,38.69426345825195,54.29488754272461,51.44297790527344,45.40919494628906,80.61735534667969,61.39152145385742,74.4068603515625,80.93658447265625,44.1371955871582,130.6811981201172,49.9288215637207,46.52594375610352,86.48999786376953,89.66915130615234,34.16062545776367,88.51507568359375,17.359207153320312,51.13127136230469,65.95999908447266,35.17380142211914,63.31877517700195,64.17495727539062,49.68999862670898,764.280029296875,148.87403869628906,58.45771408081055,26.637237548828125,11.16652488708496,36.53843307495117,137.5045928955078,26.899389266967773,258.989990234375,275.349609375,32.0317268371582,104.9989242553711,1261.8900146484375,29.8707332611084,102.01194763183594,17.239999771118164,55.01947784423828,112.39566802978516,52.18144989013672,62.50878143310547,21.100000381469727,69.97980499267578,41.973052978515625,,58.11153793334961,59.67707061767578,25.799999237060547,36.79998779296875,53.669578552246094,27.754131317138672,104.9548110961914,42.39795684814453,34.9470100402832,17.134931564331055,29.193458557128903,73.04566192626953
